Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Other,Other,B.1.1.318,0.002,2021-01-31
Other,Other,B.1.1.318,0.002,2021-02-07
Other,Other,B.1.1.318,0.001,2021-02-14
Other,Other,B.1.1.318,0,2021-02-21
Other,Other,B.1.1.318,0.002,2021-02-28
Other,Other,B.1.1.318,0,2021-03-07
Other,Other,B.1.1.318,0.001,2021-03-14
Other,Other,B.1.1.318,0,2021-03-28
Other,Other,B.1.1.318,0.001,2021-04-04
Other,Other,B.1.1.318,0.001,2021-04-11
Other,Other,B.1.1.318,0.001,2021-04-18
Other,Other,B.1.1.318,0.001,2021-04-25
Other,Other,B.1.1.318,0.001,2021-05-02
Other,Other,B.1.1.318,0.001,2021-05-09
Other,Other,B.1.1.318,0,2021-05-16
Other,Other,B.1.1.318,0.001,2021-05-23
Other,Other,B.1.1.318,0,2021-05-30
Other,Other,B.1.1.318,0.002,2021-06-06
Other,Other,B.1.1.318,0.001,2021-06-20
Other,Other,B.1.1.318,0.002,2021-06-27
Other,Other,B.1.1.318,0.001,2021-07-11
Other,Other,B.1.1.318,0.003,2021-07-18
Other,Other,B.1.1.318,0.001,2021-07-25
Other,Other,B.1.1.318,0,2021-08-01
Other,Other,B.1.1.318,0,2021-08-08
Other,Other,B.1.1.318,0,2021-08-15
Other,Other,B.1.1.322,0.001,2021-04-18
Other,Other,B.1.1.326,0.003,2020-08-16
Other,Other,B.1.1.326,0.002,2020-08-23
Other,Other,B.1.1.326,0,2021-02-21
Other,Other,B.1.1.329,0.011,2020-06-21
Other,Other,B.1.1.329,0.003,2020-11-01
Other,Other,B.1.1.329,0.001,2020-11-08
Other,Other,B.1.1.329,0.001,2020-11-22
Other,Other,B.1.1.329,0.001,2020-11-29
Other,Other,B.1.1.329,0.001,2020-12-06
Other,Other,B.1.1.329,0.002,2020-12-13
Other,Other,B.1.1.329,0.004,2020-12-20
Other,Other,B.1.1.329,0.002,2020-12-27
Other,Other,B.1.1.329,0.002,2021-01-03
Other,Other,B.1.1.329,0.007,2021-01-10
Other,Other,B.1.1.329,0.005,2021-01-17
Other,Other,B.1.1.329,0.002,2021-01-24
Other,Other,B.1.1.329,0,2021-02-28
Other,Other,B.1.1.33,0.054,2019-12-29
Other,Other,B.1.1.33,0.007,2020-03-08
Other,Other,B.1.1.33,0.002,2020-03-15
Other,Other,B.1.1.33,0.002,2020-03-22
Other,Other,B.1.1.33,0.007,2020-03-29
Other,Other,B.1.1.33,0.01,2020-04-05
Other,Other,B.1.1.33,0.004,2020-04-12
Other,Other,B.1.1.33,0.002,2020-04-19
Other,Other,B.1.1.33,0.004,2020-04-26
Other,Other,B.1.1.33,0.023,2020-05-03
Other,Other,B.1.1.33,0.011,2020-05-10
Other,Other,B.1.1.33,0.038,2020-05-17
Other,Other,B.1.1.33,0.009,2020-05-24
Other,Other,B.1.1.33,0.018,2020-05-31
Other,Other,B.1.1.33,0.011,2020-06-21
Other,Other,B.1.1.33,0.005,2020-06-28
Other,Other,B.1.1.33,0.012,2020-07-05
Other,Other,B.1.1.33,0.015,2020-07-12
Other,Other,B.1.1.33,0.005,2020-07-26
Other,Other,B.1.1.33,0.001,2020-10-04
Other,Other,B.1.1.33,0.001,2020-11-22
Other,Other,B.1.1.335,0.005,2020-07-26
Other,Other,B.1.1.339,0.003,2020-03-15
Other,Other,B.1.1.339,0.002,2020-03-22
Other,Other,B.1.1.343,0.001,2020-10-04
Other,Other,B.1.1.343,0.001,2020-10-18
Other,Other,B.1.1.343,0.001,2020-10-25
Other,Other,B.1.1.343,0.005,2020-11-01
Other,Other,B.1.1.343,0.001,2020-11-08
Other,Other,B.1.1.343,0.001,2020-11-22
Other,Other,B.1.1.343,0.001,2020-11-29
Other,Other,B.1.1.343,0.003,2020-12-06
Other,Other,B.1.1.343,0.001,2020-12-20
Other,Other,B.1.1.343,0.001,2021-01-03
Other,Other,B.1.1.343,0,2021-01-10
Other,Other,B.1.1.343,0.001,2021-01-17
Other,Other,B.1.1.343,0,2021-01-24
Other,Other,B.1.1.343,0.001,2021-01-31
Other,Other,B.1.1.343,0,2021-02-28
Other,Other,B.1.1.343,0,2021-03-07
Other,Other,B.1.1.343,0,2021-03-14
Other,Other,B.1.1.343,0.001,2021-06-20
Other,Other,B.1.1.348,0.001,2020-12-27
Other,Other,B.1.1.348,0,2021-01-10
Other,Other,B.1.1.348,0.001,2021-01-17
Other,Other,B.1.1.348,0,2021-02-21
Other,Other,B.1.1.348,0.001,2021-02-28
Other,Other,B.1.1.348,0,2021-03-14
Other,Other,B.1.1.348,0,2021-03-28
Other,Other,B.1.1.348,0,2021-04-11
Other,Other,B.1.1.348,0,2021-04-25
Other,Other,B.1.1.349,0,2021-03-28
Other,Other,B.1.1.351,0.001,2021-01-24
Other,Other,B.1.1.351,0.002,2021-01-31
Other,Other,B.1.1.351,0.003,2021-02-07
Other,Other,B.1.1.351,0.003,2021-02-14
Other,Other,B.1.1.351,0.003,2021-02-21
Other,Other,B.1.1.351,0.002,2021-02-28
Other,Other,B.1.1.351,0.003,2021-03-07
Other,Other,B.1.1.351,0.002,2021-03-14
Other,Other,B.1.1.351,0.001,2021-03-21
Other,Other,B.1.1.351,0,2021-03-28
Other,Other,B.1.1.351,0,2021-04-04
Other,Other,B.1.1.351,0,2021-04-11
Other,Other,B.1.1.354,0.001,2020-11-22
Other,Other,B.1.1.354,0.001,2020-12-06
Other,Other,B.1.1.354,0.001,2020-12-27
Other,Other,B.1.1.354,0.001,2021-01-03
Other,Other,B.1.1.354,0.001,2021-02-21
Other,Other,B.1.1.354,0,2021-02-28
Other,Other,B.1.1.354,0,2021-03-07
Other,Other,B.1.1.354,0,2021-03-21
Other,Other,B.1.1.360,0.009,2020-03-01
Other,Other,B.1.1.368,0.002,2020-11-01
Other,Other,B.1.1.368,0.001,2020-11-22
Other,Other,B.1.1.368,0,2021-01-17
Other,Other,B.1.1.368,0,2021-04-04
Other,Other,B.1.1.368,0,2021-04-11
Other,Other,B.1.1.368,0,2021-04-18
Other,Other,B.1.1.368,0,2021-05-09
Other,Other,B.1.1.368,0,2021-06-06
Other,Other,B.1.1.369,0.018,2020-03-01
Other,Other,B.1.1.369,0.001,2020-03-15
Other,Other,B.1.1.369,0.001,2020-03-22
Other,Other,B.1.1.369,0.002,2020-03-29
Other,Other,B.1.1.369,0.001,2020-04-05
Other,Other,B.1.1.369,0.001,2020-04-12
Other,Other,B.1.1.369,0.003,2020-04-19
Other,Other,B.1.1.372,0.002,2020-03-22
Other,Other,B.1.1.372,0.002,2020-03-29
Other,Other,B.1.1.372,0.003,2020-05-24
Other,Other,B.1.1.372,0.002,2020-12-13
Other,Other,B.1.1.372,0,2021-01-03
Other,Other,B.1.1.385,0,2021-01-10
Other,Other,B.1.1.39,0.002,2020-03-15
Other,Other,B.1.1.39,0.005,2020-03-22
Other,Other,B.1.1.39,0.008,2020-03-29
Other,Other,B.1.1.39,0.011,2020-04-05
Other,Other,B.1.1.39,0.004,2020-04-12
Other,Other,B.1.1.39,0.002,2020-08-23
Other,Other,B.1.1.39,0.001,2020-11-01
Other,Other,B.1.1.39,0.001,2020-11-22
Other,Other,B.1.1.39,0.001,2020-12-13
Other,Other,B.1.1.39,0.001,2020-12-27
Other,Other,B.1.1.39,0,2021-01-10
Other,Other,B.1.1.391,0.007,2020-03-08
Other,Other,B.1.1.397,0.001,2020-11-15
Other,Other,B.1.1.397,0.001,2020-12-06
Other,Other,B.1.1.397,0.001,2020-12-13
Other,Other,B.1.1.398,0.002,2020-08-30
Other,Other,B.1.1.398,0,2021-03-14
Other,Other,B.1.1.399,0.001,2020-12-13
Other,Other,B.1.1.409,0.001,2020-03-22
Other,Other,B.1.1.409,0.001,2020-03-29
Other,Other,B.1.1.409,0.003,2020-09-27
Other,Other,B.1.1.409,0.001,2020-10-25
Other,Other,B.1.1.411,0.001,2020-12-13
Other,Other,B.1.1.411,0,2021-01-03
Other,Other,B.1.1.413,0.003,2020-09-06
Other,Other,B.1.1.413,0,2021-01-17
Other,Other,B.1.1.413,0,2021-03-07
Other,Other,B.1.1.416,0.001,2020-11-01
Other,Other,B.1.1.416,0.001,2020-11-22
Other,Other,B.1.1.416,0.001,2020-12-06
Other,Other,B.1.1.416,0.001,2021-01-10
Other,Other,B.1.1.416,0.001,2021-01-17
Other,Other,B.1.1.417,0.008,2019-12-29
Other,Other,B.1.1.417,0.004,2020-03-29
Other,Other,B.1.1.417,0.002,2020-04-12
Other,Other,B.1.1.417,0.003,2020-04-19
Other,Other,B.1.1.417,0.001,2020-04-26
Other,Other,B.1.1.417,0.009,2020-05-24
Other,Other,B.1.1.417,0.005,2020-06-07
Other,Other,B.1.1.417,0.015,2020-06-28
Other,Other,B.1.1.417,0.006,2020-07-05
Other,Other,B.1.1.417,0.01,2020-07-19
Other,Other,B.1.1.417,0.01,2020-07-26
Other,Other,B.1.1.417,0.007,2020-08-02
Other,Other,B.1.1.417,0.003,2020-08-09
Other,Other,B.1.1.417,0.006,2020-08-16
Other,Other,B.1.1.417,0.004,2020-08-23
Other,Other,B.1.1.417,0.011,2020-08-30
Other,Other,B.1.1.417,0.01,2020-09-13
Other,Other,B.1.1.417,0.012,2020-09-20
Other,Other,B.1.1.417,0.027,2020-09-27
Other,Other,B.1.1.417,0.024,2020-10-04
Other,Other,B.1.1.417,0.018,2020-10-11
Other,Other,B.1.1.417,0.015,2020-10-18
Other,Other,B.1.1.417,0.048,2020-10-25
Other,Other,B.1.1.417,0.031,2020-11-01
Other,Other,B.1.1.417,0.01,2020-11-08
Other,Other,B.1.1.417,0.004,2020-11-15
Other,Other,B.1.1.417,0.025,2020-11-22
Other,Other,B.1.1.417,0.008,2020-11-29
Other,Other,B.1.1.417,0.004,2020-12-06
Other,Other,B.1.1.417,0.003,2020-12-13
Other,Other,B.1.1.417,0.005,2020-12-20
Other,Other,B.1.1.417,0.004,2020-12-27
Other,Other,B.1.1.417,0.004,2021-01-03
Other,Other,B.1.1.417,0.004,2021-01-10
Other,Other,B.1.1.417,0.002,2021-01-17
Other,Other,B.1.1.417,0.001,2021-06-20
Other,Other,B.1.1.420,0,2021-01-03
Other,Other,B.1.1.420,0,2021-01-17
Other,Other,B.1.1.420,0.002,2021-01-24
Other,Other,B.1.1.420,0.001,2021-01-31
Other,Other,B.1.1.420,0.001,2021-02-07
Other,Other,B.1.1.420,0,2021-02-21
Other,Other,B.1.1.420,0.001,2021-03-14
Other,Other,B.1.1.420,0.002,2021-03-21
Other,Other,B.1.1.420,0.002,2021-03-28
Other,Other,B.1.1.420,0,2021-04-04
Other,Other,B.1.1.420,0,2021-04-11
Other,Other,B.1.1.420,0,2021-05-16
Other,Other,B.1.1.431,0.032,2020-08-23
Other,Other,B.1.1.431,0.016,2020-08-30
Other,Other,B.1.1.431,0.018,2020-09-06
Other,Other,B.1.1.431,0.009,2020-09-20
Other,Other,B.1.1.431,0.009,2020-09-27
Other,Other,B.1.1.431,0.008,2020-10-04
Other,Other,B.1.1.431,0.001,2020-10-11
Other,Other,B.1.1.432,0.005,2020-07-26
Other,Other,B.1.1.432,0.007,2020-08-02
Other,Other,B.1.1.432,0,2021-01-10
Other,Other,B.1.1.432,0,2021-01-24
Other,Other,B.1.1.434,0.002,2020-08-23
Other,Other,B.1.1.434,0.003,2020-08-30
Other,Other,B.1.1.434,0.002,2020-10-04
Other,Other,B.1.1.434,0.001,2020-10-18
Other,Other,B.1.1.434,0.002,2020-10-25
Other,Other,B.1.1.434,0.001,2020-11-22
Other,Other,B.1.1.434,0.001,2020-12-06
Other,Other,B.1.1.434,0.001,2020-12-13
Other,Other,B.1.1.434,0.001,2020-12-27
Other,Other,B.1.1.434,0.001,2021-01-03
Other,Other,B.1.1.434,0.002,2021-01-10
Other,Other,B.1.1.434,0.001,2021-01-17
Other,Other,B.1.1.434,0.001,2021-01-31
Other,Other,B.1.1.434,0.002,2021-02-14
Other,Other,B.1.1.434,0.001,2021-02-28
Other,Other,B.1.1.434,0,2021-03-14
Other,Other,B.1.1.434,0,2021-03-21
Other,Other,B.1.1.453,0.002,2020-09-20
Other,Other,B.1.1.461,0.001,2020-12-20
Other,Other,B.1.1.464,0,2021-02-14
Other,Other,B.1.1.485,0.002,2020-03-29
Other,Other,B.1.1.485,0.001,2020-04-05
Other,Other,B.1.1.485,0.001,2020-04-12
Other,Other,B.1.1.485,0.001,2020-04-19
Other,Other,B.1.1.485,0.006,2020-05-24
Other,Other,B.1.1.486,0,2021-02-28
Other,Other,B.1.1.487,0.001,2021-01-03
Other,Other,B.1.1.487,0.001,2021-01-17
Other,Other,B.1.1.487,0.001,2021-01-24
Other,Other,B.1.1.487,0.001,2021-02-28
Other,Other,B.1.1.487,0,2021-03-07
Other,Other,B.1.1.487,0.003,2021-03-14
Other,Other,B.1.1.487,0.001,2021-03-21
Other,Other,B.1.1.487,0.002,2021-03-28
Other,Other,B.1.1.487,0,2021-04-04
Other,Other,B.1.1.487,0,2021-04-11
Other,Other,B.1.1.487,0,2021-04-18
Other,Other,B.1.1.487,0,2021-04-25
Other,Other,B.1.1.487,0,2021-05-02
Other,Other,B.1.1.518,0.001,2020-12-20
Other,Other,B.1.1.519,0.001,2020-11-29
Other,Other,B.1.1.519,0.004,2020-12-13
Other,Other,B.1.1.519,0.009,2020-12-20
Other,Other,B.1.1.519,0.005,2020-12-27
Other,Other,B.1.1.519,0.007,2021-01-03
Other,Other,B.1.1.519,0.007,2021-01-10
Other,Other,B.1.1.519,0.005,2021-01-17
Other,Other,B.1.1.519,0.009,2021-01-24
Other,Other,B.1.1.519,0.007,2021-01-31
Other,Other,B.1.1.519,0.031,2021-02-07
Other,Other,B.1.1.519,0.039,2021-02-14
Other,Other,B.1.1.519,0.041,2021-02-21
Other,Other,B.1.1.519,0.039,2021-02-28
Other,Other,B.1.1.519,0.044,2021-03-07
Other,Other,B.1.1.519,0.029,2021-03-14
Other,Other,B.1.1.519,0.022,2021-03-21
Other,Other,B.1.1.519,0.017,2021-03-28
Other,Other,B.1.1.519,0.016,2021-04-04
Other,Other,B.1.1.519,0.017,2021-04-11
Other,Other,B.1.1.519,0.015,2021-04-18
Other,Other,B.1.1.519,0.009,2021-04-25
Other,Other,B.1.1.519,0.005,2021-05-02
Other,Other,B.1.1.519,0.002,2021-05-09
Other,Other,B.1.1.519,0.001,2021-05-16
Other,Other,B.1.1.519,0.001,2021-05-23
Other,Other,B.1.1.519,0.001,2021-06-06
Other,Other,B.1.1.519,0,2021-06-13
Other,Other,B.1.1.519,0,2021-06-20
Other,Other,B.1.1.519,0.001,2021-07-11
Other,Other,B.1.1.519,0,2021-08-29
Other,Other,B.1.1.521,0.002,2020-08-23
Other,Other,B.1.1.523,0,2021-05-09
Other,Other,B.1.1.523,0.001,2021-07-11
Other,Other,B.1.1.526,0,2021-03-28
Other,Other,B.1.1.528,0,2021-02-28
Other,Other,B.1.1.528,0,2021-03-07
Other,Other,B.1.1.57,0,2021-01-17
Other,Other,B.1.1.61,0.003,2020-08-16
Other,Other,B.1.1.61,0.002,2020-08-23
Other,Other,B.1.1.63,0.015,2020-07-19
Other,Other,B.1.1.63,0.004,2020-08-02
Other,Other,B.1.1.70,0.001,2020-11-08
Other,Other,B.1.1.71,0.001,2020-03-22
Other,Other,B.1.1.71,0.001,2020-10-25
Other,Other,B.1.1.8,0.001,2020-03-22
Other,Other,B.1.1.8,0.001,2020-11-08
Other,Other,B.1.1.8,0.02,2020-11-15
Other,Other,B.1.1.8,0.003,2020-11-22
Other,Other,B.1.1.8,0.002,2020-11-29
Other,Other,B.1.1.8,0.001,2020-12-06
Other,Other,B.1.103,0.005,2020-06-14
Other,Other,B.1.104,0.002,2020-03-15
Other,Other,B.1.104,0.001,2020-03-29
Other,Other,B.1.110,0,2021-01-03
Other,Other,B.1.110.3,0.001,2020-11-08
Other,Other,B.1.110.3,0.003,2020-11-15
Other,Other,B.1.110.3,0.005,2020-11-22
Other,Other,B.1.110.3,0.001,2020-11-29
Other,Other,B.1.110.3,0.004,2020-12-06
Other,Other,B.1.110.3,0.002,2020-12-13
Other,Other,B.1.110.3,0,2021-01-10
Other,Other,B.1.111,0.004,2020-03-15
Other,Other,B.1.111,0.003,2020-03-22
Other,Other,B.1.111,0.005,2020-03-29
Other,Other,B.1.111,0.003,2020-04-05
Other,Other,B.1.111,0.001,2020-04-19
Other,Other,B.1.111,0.009,2020-08-16
Other,Other,B.1.111,0.004,2020-08-23
Other,Other,B.1.111,0.001,2020-12-06
Other,Other,B.1.111,0.001,2020-12-13
Other,Other,B.1.111,0.001,2021-01-03
Other,Other,B.1.111,0.002,2021-01-10
Other,Other,B.1.111,0.001,2021-01-17
Other,Other,B.1.111,0.001,2021-01-24
Other,Other,B.1.111,0,2021-03-28
Other,Other,B.1.126,0.001,2020-12-13
Other,Other,B.1.126,0,2021-01-03
Other,Other,B.1.128,0.031,2019-12-29
Other,Other,B.1.128,0.001,2020-03-15
Other,Other,B.1.128,0.007,2020-03-22
Other,Other,B.1.128,0.007,2020-03-29
Other,Other,B.1.128,0.003,2020-04-05
Other,Other,B.1.128,0.002,2020-04-12
Other,Other,B.1.128,0.016,2020-04-19
Other,Other,B.1.128,0.014,2020-04-26
Other,Other,B.1.128,0.01,2020-05-03
Other,Other,B.1.128,0.036,2020-05-10
Other,Other,B.1.128,0.01,2020-05-17
Other,Other,B.1.128,0.015,2020-05-24
Other,Other,B.1.128,0.011,2020-05-31
Other,Other,B.1.128,0.024,2020-06-07
Other,Other,B.1.128,0.005,2020-06-14
Other,Other,B.1.128,0.011,2020-06-21
Other,Other,B.1.128,0.019,2020-07-05
Other,Other,B.1.128,0.01,2020-07-19
Other,Other,B.1.128,0.018,2020-08-02
Other,Other,B.1.128,0.212,2020-08-09
Other,Other,B.1.128,0.274,2020-08-16
Other,Other,B.1.128,0.162,2020-08-23
Other,Other,B.1.128,0.153,2020-08-30
Other,Other,B.1.128,0.22,2020-09-06
Other,Other,B.1.128,0.29,2020-09-13
Other,Other,B.1.128,0.214,2020-09-20
Other,Other,B.1.128,0.18,2020-09-27
Other,Other,B.1.128,0.11,2020-10-04
Other,Other,B.1.128,0.109,2020-10-11
Other,Other,B.1.128,0.117,2020-10-18
Other,Other,B.1.128,0.082,2020-10-25
Other,Other,B.1.128,0.063,2020-11-01
Other,Other,B.1.128,0.078,2020-11-08
Other,Other,B.1.128,0.089,2020-11-15
Other,Other,B.1.128,0.048,2020-11-22
Other,Other,B.1.128,0.032,2020-11-29
Other,Other,B.1.128,0.022,2020-12-06
Other,Other,B.1.128,0.008,2020-12-13
Other,Other,B.1.128,0.008,2020-12-20
Other,Other,B.1.128,0.001,2020-12-27
Other,Other,B.1.128,0.001,2021-01-03
Other,Other,B.1.128,0,2021-01-10
Other,Other,B.1.128,0,2021-05-30
Other,Other,B.1.128,0.001,2022-02-27
Other,Other,B.1.13,0.001,2020-03-15
Other,Other,B.1.13,0.002,2020-03-22
Other,Other,B.1.13,0.003,2020-05-17
Other,Other,B.1.131,0.001,2020-11-08
Other,Other,B.1.139,0.002,2020-11-01
Other,Other,B.1.139,0.001,2020-11-22
Other,Other,B.1.139,0.001,2020-11-29
Other,Other,B.1.143,0.001,2021-01-10
Other,Other,B.1.147,0.02,2020-03-08
Other,Other,B.1.147,0.006,2020-03-15
Other,Other,B.1.147,0.041,2020-03-22
Other,Other,B.1.147,0.104,2020-03-29
Other,Other,B.1.147,0.144,2020-04-05
Other,Other,B.1.147,0.1,2020-04-12
Other,Other,B.1.147,0.079,2020-04-19
Other,Other,B.1.147,0.119,2020-04-26
Other,Other,B.1.147,0.147,2020-05-03
Other,Other,B.1.147,0.156,2020-05-10
Other,Other,B.1.147,0.212,2020-05-17
Other,Other,B.1.147,0.158,2020-05-24
Other,Other,B.1.147,0.052,2020-05-31
Other,Other,B.1.147,0.062,2020-06-07
Other,Other,B.1.147,0.042,2020-06-14
Other,Other,B.1.147,0.034,2020-06-21
Other,Other,B.1.147,0.005,2020-06-28
Other,Other,B.1.147,0.008,2020-07-12
Other,Other,B.1.147,0.007,2020-08-02
Other,Other,B.1.147,0.003,2020-08-09
Other,Other,B.1.147,0.003,2020-08-16
Other,Other,B.1.151,0.001,2020-03-22
Other,Other,B.1.157,0.001,2020-03-22
Other,Other,B.1.159,0.001,2020-03-22
Other,Other,B.1.160,0.007,2020-03-08
Other,Other,B.1.160,0.002,2020-05-31
Other,Other,B.1.160,0.008,2020-07-12
Other,Other,B.1.160,0.005,2020-08-30
Other,Other,B.1.160,0.002,2020-09-13
Other,Other,B.1.160,0.005,2020-09-20
Other,Other,B.1.160,0.005,2020-09-27
Other,Other,B.1.160,0.018,2020-10-04
Other,Other,B.1.160,0.029,2020-10-11
Other,Other,B.1.160,0.025,2020-10-18
Other,Other,B.1.160,0.012,2020-10-25
Other,Other,B.1.160,0.032,2020-11-01
Other,Other,B.1.160,0.052,2020-11-08
Other,Other,B.1.160,0.017,2020-11-15
Other,Other,B.1.160,0.038,2020-11-22
Other,Other,B.1.160,0.058,2020-11-29
Other,Other,B.1.160,0.078,2020-12-06
Other,Other,B.1.160,0.1,2020-12-13
Other,Other,B.1.160,0.149,2020-12-20
Other,Other,B.1.160,0.154,2020-12-27
Other,Other,B.1.160,0.138,2021-01-03
Other,Other,B.1.160,0.109,2021-01-10
Other,Other,B.1.160,0.116,2021-01-17
Other,Other,B.1.160,0.076,2021-01-24
Other,Other,B.1.160,0.068,2021-01-31
Other,Other,B.1.160,0.041,2021-02-07
Other,Other,B.1.160,0.021,2021-02-14
Other,Other,B.1.160,0.021,2021-02-21
Other,Other,B.1.160,0.019,2021-02-28
Other,Other,B.1.160,0.017,2021-03-07
Other,Other,B.1.160,0.008,2021-03-14
Other,Other,B.1.160,0.004,2021-03-21
Other,Other,B.1.160,0.002,2021-03-28
Other,Other,B.1.160,0.001,2021-04-04
Other,Other,B.1.160,0.001,2021-04-11
Other,Other,B.1.160,0.001,2021-04-18
Other,Other,B.1.160,0.001,2021-04-25
Other,Other,B.1.160,0.001,2021-05-02
Other,Other,B.1.160,0,2021-05-09
Other,Other,B.1.160,0,2021-05-16
Other,Other,B.1.160,0,2021-06-06
Other,Other,B.1.160,0.001,2021-06-20
Other,Other,B.1.160,0.001,2021-06-27
Other,Other,B.1.160,0,2021-07-18
Other,Other,B.1.160.28,0.001,2020-11-15
Other,Other,B.1.162,0.004,2020-03-29
Other,Other,B.1.162,0.001,2020-04-05
Other,Other,B.1.166,0.001,2020-03-22
Other,Other,B.1.166,0.001,2020-03-29
Other,Other,B.1.167,0.192,2019-12-29
Other,Other,B.1.167,0.004,2020-03-29
Other,Other,B.1.167,0.003,2020-04-05
Other,Other,B.1.167,0.004,2020-04-12
Other,Other,B.1.167,0.005,2020-04-19
Other,Other,B.1.167,0.017,2020-04-26
Other,Other,B.1.167,0.002,2020-05-03
Other,Other,B.1.167,0.008,2020-05-10
Other,Other,B.1.167,0.018,2020-05-17
Other,Other,B.1.167,0.067,2020-05-24
Other,Other,B.1.167,0.034,2020-05-31
Other,Other,B.1.167,0.01,2020-06-07
Other,Other,B.1.170,0.001,2020-10-04
Other,Other,B.1.170,0.001,2020-11-15
Other,Other,B.1.170,0.001,2021-02-07
Other,Other,B.1.170,0.001,2021-02-14
Other,Other,B.1.170,0.001,2021-02-21
Other,Other,B.1.170,0.002,2021-02-28
Other,Other,B.1.170,0.001,2021-03-07
Other,Other,B.1.170,0,2021-03-14
Other,Other,B.1.170,0.001,2021-03-21
Other,Other,B.1.170,0.001,2021-03-28
Other,Other,B.1.170,0.002,2021-04-04
Other,Other,B.1.170,0.001,2021-04-11
Other,Other,B.1.170,0,2021-04-18
Other,Other,B.1.170,0,2021-04-25
Other,Other,B.1.170,0,2021-05-16
Other,Other,B.1.177,0.002,2020-09-13
Other,Other,B.1.177,0.002,2020-09-20
Other,Other,B.1.177,0.001,2020-10-04
Other,Other,B.1.177,0.002,2020-10-11
Other,Other,B.1.177,0.006,2020-10-18
Other,Other,B.1.177,0.002,2020-10-25
Other,Other,B.1.177,0.001,2020-11-01
Other,Other,B.1.177,0.001,2020-11-15
Other,Other,B.1.177,0.001,2020-11-22
Other,Other,B.1.177,0.001,2020-11-29
Other,Other,B.1.177,0.002,2020-12-13
Other,Other,B.1.177,0.002,2020-12-20
Other,Other,B.1.177,0.001,2020-12-27
Other,Other,B.1.177,0.001,2021-01-03
Other,Other,B.1.177,0,2021-01-17
Other,Other,B.1.177,0.001,2021-01-24
Other,Other,B.1.177,0,2021-02-14
Other,Other,B.1.177,0,2021-03-21
Other,Other,B.1.177,0,2021-03-28
Other,Other,B.1.177.21,0.001,2020-12-13
Other,Other,B.1.177.23,0.002,2020-08-30
Other,Other,B.1.177.52,0.002,2020-08-30
Other,Other,B.1.177.54,0.001,2021-01-03
Other,Other,B.1.177.62,0.001,2020-11-01
Other,Other,B.1.177.72,0.001,2020-12-20
Other,Other,B.1.177.72,0.001,2020-12-27
Other,Other,B.1.177.77,0.001,2020-11-29
Other,Other,B.1.177.77,0.001,2020-12-20
Other,Other,B.1.177.81,0,2021-01-03
Other,Other,B.1.177.86,0.001,2020-12-27
Other,Other,B.1.177.86,0.002,2021-01-03
Other,Other,B.1.177.86,0.001,2021-01-10
Other,Other,B.1.177.87,0.006,2020-09-27
Other,Other,B.1.177.87,0.005,2020-10-04
Other,Other,B.1.177.87,0.002,2020-10-11
Other,Other,B.1.177.87,0.001,2020-12-06
Other,Other,B.1.181,0.001,2020-12-27
Other,Other,B.1.195,0.001,2020-03-22
Other,Other,B.1.199,0.001,2020-04-26
Other,Other,B.1.199,0.002,2020-05-03
Other,Other,B.1.2,0.008,2019-12-29
Other,Other,B.1.2,0.003,2020-03-15
Other,Other,B.1.2,0.018,2020-08-02
Other,Other,B.1.2,0.003,2020-08-09
Other,Other,B.1.2,0.003,2020-08-16
Other,Other,B.1.2,0.003,2020-08-30
Other,Other,B.1.2,0.003,2020-09-06
Other,Other,B.1.2,0.003,2020-09-20
Other,Other,B.1.2,0.014,2020-09-27
Other,Other,B.1.2,0.012,2020-10-04
Other,Other,B.1.2,0.029,2020-10-11
Other,Other,B.1.2,0.049,2020-10-18
Other,Other,B.1.2,0.087,2020-10-25
Other,Other,B.1.2,0.123,2020-11-01
Other,Other,B.1.2,0.121,2020-11-08
Other,Other,B.1.2,0.129,2020-11-15
Other,Other,B.1.2,0.097,2020-11-22
Other,Other,B.1.2,0.185,2020-11-29
Other,Other,B.1.2,0.267,2020-12-06
Other,Other,B.1.2,0.17,2020-12-13
Other,Other,B.1.2,0.139,2020-12-20
Other,Other,B.1.2,0.121,2020-12-27
Other,Other,B.1.2,0.114,2021-01-03
Other,Other,B.1.2,0.114,2021-01-10
Other,Other,B.1.2,0.104,2021-01-17
Other,Other,B.1.2,0.163,2021-01-24
Other,Other,B.1.2,0.163,2021-01-31
Other,Other,B.1.2,0.092,2021-02-07
Other,Other,B.1.2,0.113,2021-02-14
Other,Other,B.1.2,0.106,2021-02-21
Other,Other,B.1.2,0.107,2021-02-28
Other,Other,B.1.2,0.096,2021-03-07
Other,Other,B.1.2,0.076,2021-03-14
Other,Other,B.1.2,0.046,2021-03-21
Other,Other,B.1.2,0.04,2021-03-28
Other,Other,B.1.2,0.036,2021-04-04
Other,Other,B.1.2,0.019,2021-04-11
Other,Other,B.1.2,0.012,2021-04-18
Other,Other,B.1.2,0.008,2021-04-25
Other,Other,B.1.2,0.005,2021-05-02
Other,Other,B.1.2,0.005,2021-05-09
Other,Other,B.1.2,0.004,2021-05-16
Other,Other,B.1.2,0.003,2021-05-23
Other,Other,B.1.2,0.001,2021-05-30
Other,Other,B.1.2,0.001,2021-06-06
Other,Other,B.1.2,0.001,2021-06-13
